"","observed","predicted"
"298",0,2.22044604925031e-16
"299",0,2.22044604925031e-16
"300",1,1
"301",0,2.22044604925031e-16
"302",1,0.976767696106652
"303",1,1
"304",0,2.22044604925031e-16
"305",0,2.22044604925031e-16
"306",1,0.969892962383111
"307",0,2.22044604925031e-16
"308",0,2.22044604925031e-16
"309",0,2.22044604925031e-16
"310",1,1
"311",1,1
"312",0,2.22044604925031e-16
"313",1,0.999999319453581
"314",0,2.22044604925031e-16
"315",0,2.22044604925031e-16
"316",1,1
"317",1,1
"318",1,1
"319",0,2.22044604925031e-16
"320",1,1
"321",0,2.22044604925031e-16
"322",0,2.59037112166014e-08
"323",0,3.52010965997763e-08
"324",1,1
"325",0,1.11433911014305e-10
"326",0,2.22044604925031e-16
"327",1,1
"328",0,2.22044604925031e-16
"329",0,2.22044604925031e-16
"330",1,0.987552692764533
"331",1,0.999999999973952
"332",0,2.22044604925031e-16
"333",0,2.22044604925031e-16
"334",1,0.977792074559171
"335",1,1
"336",0,2.22044604925031e-16
"337",0,2.22044604925031e-16
"338",0,1.01976271482065e-10
"339",1,1
"340",1,1
"341",1,9.66699166388456e-08
"342",1,0.999999999993411
"343",0,2.22044604925031e-16
"344",1,1
"345",0,2.22044604925031e-16
"346",1,1
"347",0,2.22044604925031e-16
"348",1,1
"349",0,3.64175737748477e-10
"350",1,0.99940171897083
"351",1,1
"352",0,2.22044604925031e-16
"353",1,1
"354",0,2.22044604925031e-16
"355",0,1.21089412031032e-10
"356",0,2.22044604925031e-16
"357",0,2.22044604925031e-16
"358",0,2.82542672442212e-10
"359",1,0.998480335965619
"360",0,2.22044604925031e-16
"361",1,1
"362",0,2.22044604925031e-16
"363",0,2.22044604925031e-16
"364",1,1
"365",0,2.22044604925031e-16
"366",0,2.39124489354912e-07
"367",1,1.24157634602633e-05
"368",0,3.42660541353783e-08
"369",0,2.22044604925031e-16
"370",0,2.22044604925031e-16
"371",0,2.22044604925031e-16
"372",1,1
"373",0,2.22044604925031e-16
"374",1,1
"375",0,1.34468254373998e-10
"376",1,1
"377",1,3.29133499244234e-07
"378",1,1
"379",0,2.22044604925031e-16
"380",0,2.22044604925031e-16
"381",1,1
"382",0,1.11202900505223e-10
"383",0,2.22044604925031e-16
"384",1,1
"385",1,0.999987033226099
"386",1,0.997410302139347
"387",1,1
"388",1,1
"389",0,8.58378843116796e-10
"390",1,4.78443166595124e-07
"391",0,2.22044604925031e-16
"392",1,1
"393",0,2.22044604925031e-16
"394",1,1
"395",1,1
"396",1,1
"397",1,1
"398",1,1
"399",0,2.22044604925031e-16
"400",1,1
"401",0,2.22044604925031e-16
"402",0,2.22044604925031e-16
"403",0,2.22044604925031e-16
"404",0,2.22044604925031e-16
"405",1,0.99975098009653
"406",1,0.999999946874819
"407",1,0.9999999999998
"408",1,1
"409",0,2.22044604925031e-16
"410",0,2.22044604925031e-16
"411",0,1.09997907382376e-10
"412",1,1
"413",1,1
"414",0,2.22044604925031e-16
"415",0,2.22044604925031e-16
"416",0,1.26903658553891e-10
"417",0,2.22044604925031e-16
"418",1,0.980706697835591
"419",1,1
"420",0,2.22044604925031e-16
"421",1,0.99999905261263
"422",0,2.22044604925031e-16
"423",0,2.22044604925031e-16
"424",1,1
"425",0,2.22044604925031e-16
"426",1,1
"427",0,2.22044604925031e-16
"428",1,1
"429",1,1
"430",0,2.22044604925031e-16
"431",0,1.17765192445695e-10
"432",1,1
"433",0,2.22044604925031e-16
"434",0,2.22044604925031e-16
"435",1,1
"436",0,2.22044604925031e-16
"437",0,2.22044604925031e-16
"438",1,0.972895355446375
"439",0,2.22044604925031e-16
"440",0,2.22044604925031e-16
